,concept,id,label_1,label_2,label_3,label_4,label_5,margin_error_dummy,race,type
2,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_061E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$20,000 to $22,499",,False,Black or African American Alone,int
21,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_035M,Margin of Error for!!Householder 25 to 44 years,"$200,000 or more",,,,True,Black or African American Alone,int
62,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_049M,Margin of Error for!!Female:,,,,,True,Black or African American Alone,int
185,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_080M,Margin of Error for!!Female,Other,With earnings,"$10,000 to $12,499",,True,Black or African American Alone,int
200,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_005E,Walked,,,,,False,Black or African American Alone,int
238,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_009M,Margin of Error for!!Householder under 25 years,"$35,000 to $39,999",,,,True,Black or African American Alone,int
255,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_043M,Margin of Error for!!Householder 45 to 64 years,"$35,000 to $39,999",,,,True,Black or African American Alone,int
300,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_037M,Margin of Error for!!Male,Other,With earnings,"$20,000 to $22,499",,True,Black or African American Alone,int
363,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_012E,Enrolled in school,Enrolled in grade 8,,,,False,Black or African American Alone,int
394,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_027M,Margin Of Error For!!Female,45 to 54 years,,,,True,Black or African American Alone,int
462,B25003B.  TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25003B_002E,Owner occupied,,,,,False,Black or African American Alone,int
499,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_009M,Margin Of Error For!!Male,16 to 64 years,Not in labor force,,,True,Black or African American Alone,int
632,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_013M,Margin of Error for!!Householder under 25 years,"$60,000 to $74,999",,,,True,Black or African American Alone,int
663,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_003E,"Car, truck, or van - carpooled",,,,,False,Black or African American Alone,int
684,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_025E,Female,30 to 34 years,,,,False,Black or African American Alone,int
687,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_017E,Female,Under 18 years,Foreign born,Naturalized U.S. citizen,,False,Black or African American Alone,int
695,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_002E,Income in the past 12 months below poverty level:,,,,,False,Black or African American Alone,int
768,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_002M,Margin Of Error For!!Native:,,,,,True,Black or African American Alone,int
899,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_009E,Income in the past 12 months below poverty level,Other family:,,,,False,Black or African American Alone,int
945,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_010E,Female,Some college or associate's degree,,,,False,Black or African American Alone,int
951,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_002M,Margin of Error for!!Enrolled in school:,,,,,True,Black or African American Alone,int
1035,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_010M,Margin of Error for!!65 years and over,No health insurance coverage,,,,True,Black or African American Alone,int
1070,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_007M,Margin of Error for!!Householder under 25 years,"$25,000 to $29,999",,,,True,Black or African American Alone,int
1086,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_006E,Income in the past 12 months below poverty level,12 to 17 years,,,,False,Black or African American Alone,int
1113,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_036E,Income in the past 12 months at or above poverty level,Male,12 to 14 years,,,False,Black or African American Alone,int
1142,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_005E,Householder under 25 years,"$15,000 to $19,999",,,,False,Black or African American Alone,int
1241,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_011M,Margin Of Error For!!Male,18 years and over,Foreign born,Naturalized U.S. citizen,,True,Black or African American Alone,int
1288,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_014M,Margin Of Error For!!Male,65 to 74 years,,,,True,Black or African American Alone,int
1361,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_017M,Margin Of Error For!!Income in the past 12 months below poverty level,Other family,"Female householder, no husband present",With related children under 18 years:,,True,Black or African American Alone,int
1373,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
1383,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_006M,"Margin Of Error For!!Taxicab, motorcycle, bicycle, or other means",,,,,True,Black or African American Alone,int
1502,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_093M,Margin of Error for!!Female,Other,With earnings,"$65,000 to $74,999",,True,Black or African American Alone,int
1547,B19001B.  Household Income (Black or African American Alone Householder),B19001B_010E,"$45,000 to $49,999",,,,,False,Black or African American Alone,int
1569,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_002E,"Car, truck, or van - drove alone",,,,,False,Black or African American Alone,int
1613,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_008E,Male,16 to 64 years,In labor force,Civilian,Unemployed,False,Black or African American Alone,int
1651,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_004M,Margin Of Error For!!Public transportation (excluding taxicab),,,,,True,Black or African American Alone,int
1703,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_017E,Enrolled in school,"Enrolled in college, undergraduate years",,,,False,Black or African American Alone,int
1732,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_006M,Margin Of Error For!!Male,Under 18 years,Foreign born,Naturalized U.S. citizen,,True,Black or African American Alone,int
1894,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_018E,Female,Under 5 years,,,,False,Black or African American Alone,int
1933,B01002B.  MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),B01002B_001E,Median age --!!Total:,,,,,False,Black or African American Alone,int
1944,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_057E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$10,000 to $12,499",,False,Black or African American Alone,int
1946,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_031E,Income in the past 12 months at or above poverty level:,,,,,False,Black or African American Alone,int
1980,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_017M,Margin Of Error For!!Income in the past 12 months below poverty level,Female:,,,,True,Black or African American Alone,int
1988,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_004E,Native,Speak another language,,,,False,Black or African American Alone,int
1990,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_018M,Margin Of Error For!!Female,Under 18 years,Foreign born,Not a U.S. citizen,,True,Black or African American Alone,int
2042,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_031E,Female,85 years and over,,,,False,Black or African American Alone,int
