"GEOID","name.cd","name.st","C23002A_004E","C23002A_004M","C23002B_004E","C23002B_004M","C23002C_004E","C23002C_004M","C23002D_004E","C23002D_004M","C23002E_004E","C23002E_004M","C23002F_004E","C23002F_004M","C23002G_004E","C23002G_004M","C23002H_004E","C23002H_004M","C23002I_004E","C23002I_004M","C23002A_001E","C23002A_001M","C23002B_001E","C23002B_001M","C23002C_001E","C23002C_001M","C23002D_001E","C23002D_001M","C23002E_001E","C23002E_001M","C23002F_001E","C23002F_001M","C23002G_001E","C23002G_001M","C23002H_001E","C23002H_001M","C23002I_001E","C23002I_001M"
"0101","Congressional District 1 (115th Congress)","Alabama",112892,1366,33093,915,1206,228,2471,236,95,97,1518,402,2079,391,108521,1279,6065,206,383903,952,146859,777,5556,470,7690,399,116,102,3542,745,7074,791,374084,542,14273,157
"0102","Congressional District 2 (115th Congress)","Alabama",107512,1076,41861,995,558,136,1916,229,36,37,1723,301,2034,318,103025,984,6577,328,361945,972,161732,1386,2170,282,5918,400,94,45,4292,558,7308,618,351934,846,15321,375
"0103","Congressional District 3 (115th Congress)","Alabama",117342,1318,37034,988,394,160,3094,252,51,49,2060,552,1988,363,114319,1212,5714,365,400661,1452,140439,962,1715,301,8645,427,138,80,4607,983,6030,589,393271,985,13590,247
"0104","Congressional District 4 (115th Congress)","Alabama",135617,1497,9135,466,1164,255,990,179,55,64,3493,549,2142,361,128575,1505,11051,480,485779,1679,37619,630,4072,590,3340,350,386,238,7013,906,7518,734,468640,1262,25482,492
"0105","Congressional District 5 (115th Congress)","Alabama",138348,1181,27537,844,1269,225,2789,215,109,62,2256,342,3293,362,130917,1090,10159,287,440701,853,95884,637,3685,434,9426,343,444,96,4894,552,10833,724,424540,515,22461,184
"0106","Congressional District 6 (115th Congress)","Alabama",141076,1225,22216,936,377,132,3457,319,69,46,4816,567,1961,271,136226,1104,9777,590,445908,1671,78040,1381,1451,305,8972,486,95,47,9435,916,5834,553,434355,1457,21335,661
"0107","Congressional District 7 (115th Congress)","Alabama",55537,1429,78837,1663,244,129,1114,238,68,44,2405,553,1100,243,52485,1382,5654,627,194022,2110,333273,1771,978,279,4155,504,241,78,5393,782,4477,531,187495,1950,12457,756
"0200","Congressional District (at Large) (115th Congress)","Alaska",153425,1005,8575,450,20718,568,12694,497,2182,219,3403,524,12820,885,145162,895,14398,329,391615,967,19220,479,73735,1044,34955,764,5919,260,7352,784,35936,1525,372170,450,33469,180
"0401","Congressional District 1 (115th Congress)","Arizona",106032,1750,3867,417,28321,792,2242,350,313,133,7907,801,3710,489,80878,1511,35356,1179,390090,2590,13347,680,124501,1339,9480,783,1170,230,23316,1480,13653,870,309101,2267,111860,1752
"0402","Congressional District 2 (115th Congress)","Arizona",134746,1673,7612,461,2588,401,5295,488,290,93,11261,900,5789,497,103395,1412,46200,1288,487904,2417,23190,732,7738,660,17945,803,1207,217,32750,1931,17503,970,387833,2119,142785,1945
"0403","Congressional District 3 (115th Congress)","Arizona",126613,2044,8277,745,6060,589,2787,378,234,98,28235,1292,4429,442,49672,1302,110067,1786,405577,4507,25488,1553,21482,918,11208,873,728,228,78378,2796,14149,1094,175914,2942,322762,3200
"0404","Congressional District 4 (115th Congress)","Arizona",121693,1863,3005,449,2406,475,2002,275,247,157,9208,922,3510,462,101507,1440,30931,1132,543280,3014,10827,701,10083,899,7512,622,974,252,24040,1849,11829,855,475505,2461,96691,1836
"0405","Congressional District 5 (115th Congress)","Arizona",161459,2219,6508,661,1927,410,8676,617,401,141,5793,582,3981,439,134584,2085,34510,1311,507662,3926,17405,1278,5818,837,26647,1331,1483,340,14697,1159,11340,840,435776,3804,91406,2124
"0406","Congressional District 6 (115th Congress)","Arizona",168046,2076,6420,859,2652,388,10170,719,186,78,7215,797,3969,530,143749,1844,33072,1433,532966,3310,15918,1426,8884,971,27661,1303,445,140,16986,1330,11841,1181,468639,3540,85338,2893
"0407","Congressional District 7 (115th Congress)","Arizona",117498,2695,16243,852,4397,581,4733,480,571,180,37612,1543,4673,565,44018,1621,115577,2365,355978,4832,54701,1789,15040,1178,14741,1141,1468,332,96843,3693,14025,1259,137364,2650,328500,3956
"0408","Congressional District 8 (115th Congress)","Arizona",142053,2119,8396,698,1424,341,5756,514,330,135,5909,567,4344,554,114079,1749,35503,1328,517426,3832,25593,1464,4683,661,20196,1248,936,270,16607,1200,13457,1262,439463,3851,99304,2564
"0409","Congressional District 9 (115th Congress)","Arizona",173249,2703,12431,776,6237,639,10834,735,722,225,14061,1241,6270,701,132073,2138,58281,2048,475256,4538,31798,1703,16801,1369,31520,1326,1560,353,35985,2449,17123,1183,374057,3427,145297,3325
"0501","Congressional District 1 (115th Congress)","Arkansas",127244,1345,23043,606,561,163,717,108,76,77,2088,372,1755,306,123555,1228,6107,316,459262,881,97416,684,2239,355,3057,259,206,137,5037,574,7108,579,449904,648,15312,253
"0502","Congressional District 2 (115th Congress)","Arkansas",137508,1140,34541,901,666,181,3186,227,144,115,2301,437,3040,385,129981,1019,10548,481,443997,1035,124624,725,1969,273,9535,296,221,116,5284,834,10257,686,426759,410,24180,193
"0503","Congressional District 3 (115th Congress)","Arkansas",161945,1333,5256,386,2086,258,6160,247,1473,266,9964,677,4489,480,144365,1053,28331,432,519666,1689,16800,390,6827,591,16930,369,3507,314,21660,1304,13712,849,476004,1058,67763,299
"0504","Congressional District 4 (115th Congress)","Arkansas",120998,1105,25371,681,979,232,1025,153,33,35,4952,390,1824,298,116025,1078,10046,311,436251,1326,106794,610,3749,414,3476,281,83,56,12066,815,7574,526,423603,1050,25250,358
"0601","Congressional District 1 (115th Congress)","California",130888,1705,1961,277,2721,346,3729,378,348,135,5097,660,5408,477,117203,1461,20678,680,508913,1766,8851,459,10354,671,15411,469,975,198,14468,1270,20881,1016,464219,1290,65864,827
"0602","Congressional District 2 (115th Congress)","California",139684,1610,2679,346,3351,354,6091,319,540,152,15702,1146,6133,570,123532,1264,33992,833,482441,2410,9491,565,11479,688,22329,676,1215,276,37678,1980,21459,953,438163,1446,87736,1042
"0603","Congressional District 3 (115th Congress)","California",117220,1421,9742,700,1626,261,17872,669,998,193,18760,1225,8063,592,85850,1048,53235,996,381398,2618,35711,1389,5961,517,67061,1253,3283,448,49593,2379,25750,1274,295821,1550,145338,1436
"0604","Congressional District 4 (115th Congress)","California",143798,1810,2467,217,1554,309,8294,375,221,95,5864,627,5757,526,129100,1644,22392,680,507020,2079,8031,515,5936,611,27598,621,1035,235,16558,1297,18657,930,463263,1830,65734,1001
"0605","Congressional District 5 (115th Congress)","California",121455,1764,10404,730,1703,302,20134,712,1051,151,23499,1403,8482,702,92289,1258,56870,1103,398156,3277,36953,1150,5424,748,67285,1442,3016,371,52991,2458,25759,1208,322825,2477,140028,1788
"0606","Congressional District 6 (115th Congress)","California",99958,2043,19415,997,1140,220,27551,897,2478,367,18591,1158,9217,773,71980,1430,50300,1394,316149,3070,70869,1580,4594,582,92161,2100,7752,739,50825,2397,29698,1607,236546,2461,141876,2006
"0607","Congressional District 7 (115th Congress)","California",118821,2000,12411,771,1263,263,27717,833,1531,255,9367,848,9179,658,99500,1679,31520,1029,386274,2832,43170,1557,4122,531,87123,1956,4751,572,23731,1597,29164,1463,333440,2263,86376,1856
"0608","Congressional District 8 (115th Congress)","California",124764,1974,10016,905,2111,295,4936,569,673,187,12803,1052,5283,644,78707,1439,62246,1710,415623,3542,42076,2171,7442,723,18242,1376,2023,473,37034,2440,17257,1239,276055,2466,187742,3005
"0609","Congressional District 9 (115th Congress)","California",101607,1742,13949,688,1402,288,24426,774,959,226,22247,1195,13086,987,63716,1242,70312,1490,321761,3890,49398,1386,4421,677,82382,1860,2986,486,59849,2685,37887,2338,216177,2379,192863,2107
"0610","Congressional District 10 (115th Congress)","California",132463,1757,5346,441,990,253,12210,592,1430,279,22458,1149,7456,736,79938,1194,78227,1024,407749,2691,18220,904,3708,506,37829,1287,3956,444,57296,2526,23382,1593,265990,1621,209805,1533
"0611","Congressional District 11 (115th Congress)","California",119817,1896,13422,675,763,208,26280,842,849,211,20647,1161,8196,749,90136,1372,53600,960,373342,3099,50608,1294,2490,497,84946,1497,2965,364,50233,2315,25702,1691,295584,2150,137114,1905
"0612","Congressional District 12 (115th Congress)","California",138820,1677,9368,546,927,275,62494,1260,715,144,16915,994,9858,765,121094,1153,37272,788,336449,1924,34128,850,2366,418,212823,1915,2408,245,39639,2047,24762,1226,293422,962,89581,1143
"0613","Congressional District 13 (115th Congress)","California",97496,1274,29376,973,1605,332,37855,950,1117,203,22217,1264,10228,720,76904,1146,47000,1212,279961,2604,108687,1514,4525,506,133052,1537,3589,456,52158,2181,31278,1509,225374,1830,118732,2011
"0614","Congressional District 14 (115th Congress)","California",99842,1709,5929,481,841,233,67183,942,2701,214,24887,1356,7586,608,75110,1028,52703,1121,291124,3038,19677,685,2050,395,205249,1999,7877,382,58278,2490,22299,995,224152,1453,133840,1490
"0615","Congressional District 15 (115th Congress)","California",101944,1563,10984,697,922,237,65788,1249,2382,249,15649,1061,8666,650,73418,1174,47592,1067,293630,2791,36405,1412,3294,570,186493,2065,6524,556,38330,2074,25211,1456,219199,2015,122996,1945
"0616","Congressional District 16 (115th Congress)","California",92205,1755,6961,521,1639,326,14004,844,340,110,41612,1569,3920,470,36222,970,101229,1644,304257,3435,32172,910,6000,685,49281,1399,1031,251,114578,3244,16248,1200,140730,1684,291024,2390
"0617","Congressional District 17 (115th Congress)","California",70758,1601,5446,601,697,176,119387,1534,1016,212,17056,1081,6725,623,56523,1469,33491,1288,202621,2710,15526,1117,2252,415,315391,2638,3059,553,42505,2004,18647,1218,162423,2603,89861,2045
