,GEOID,All people age 18-65,All people age 18-65 with health insurance,All people age 18-65 without health insurance,NAME,congressional district,state
0,0101,113568.0,84815.0,28753.0,"Congressional District 1 (115th Congress), Alabama",1,1
1,0102,128943.0,100814.0,28129.0,"Congressional District 2 (115th Congress), Alabama",2,1
2,0103,112404.0,91547.0,20857.0,"Congressional District 3 (115th Congress), Alabama",3,1
3,0104,29537.0,24215.0,5322.0,"Congressional District 4 (115th Congress), Alabama",4,1
4,0105,77848.0,61863.0,15985.0,"Congressional District 5 (115th Congress), Alabama",5,1
5,0106,63943.0,54818.0,9125.0,"Congressional District 6 (115th Congress), Alabama",6,1
6,0107,266345.0,207732.0,58613.0,"Congressional District 7 (115th Congress), Alabama",7,1
7,0200,14981.0,12008.0,2973.0,"Congressional District (at Large) (115th Congress), Alaska",0,2
8,0401,9147.0,7753.0,1394.0,"Congressional District 1 (115th Congress), Arizona",1,4
9,0402,16700.0,14082.0,2618.0,"Congressional District 2 (115th Congress), Arizona",2,4
10,0403,19984.0,17220.0,2764.0,"Congressional District 3 (115th Congress), Arizona",3,4
11,0404,6702.0,5657.0,1045.0,"Congressional District 4 (115th Congress), Arizona",4,4
12,0405,14228.0,12658.0,1570.0,"Congressional District 5 (115th Congress), Arizona",5,4
13,0406,13893.0,10909.0,2984.0,"Congressional District 6 (115th Congress), Arizona",6,4
14,0407,45453.0,36425.0,9028.0,"Congressional District 7 (115th Congress), Arizona",7,4
15,0408,20220.0,18183.0,2037.0,"Congressional District 8 (115th Congress), Arizona",8,4
16,0409,28173.0,23419.0,4754.0,"Congressional District 9 (115th Congress), Arizona",9,4
17,0501,73033.0,57657.0,15376.0,"Congressional District 1 (115th Congress), Arkansas",1,5
18,0502,104745.0,85323.0,19422.0,"Congressional District 2 (115th Congress), Arkansas",2,5
19,0503,14547.0,12198.0,2349.0,"Congressional District 3 (115th Congress), Arkansas",3,5
20,0504,83821.0,66745.0,17076.0,"Congressional District 4 (115th Congress), Arkansas",4,5
21,0601,4988.0,4287.0,701.0,"Congressional District 1 (115th Congress), California",1,6
22,0602,6268.0,5423.0,845.0,"Congressional District 2 (115th Congress), California",2,6
23,0603,24783.0,22103.0,2680.0,"Congressional District 3 (115th Congress), California",3,6
24,0604,4971.0,4439.0,532.0,"Congressional District 4 (115th Congress), California",4,6
25,0605,29914.0,26048.0,3866.0,"Congressional District 5 (115th Congress), California",5,6
26,0606,58382.0,50700.0,7682.0,"Congressional District 6 (115th Congress), California",6,6
27,0607,33234.0,28854.0,4380.0,"Congressional District 7 (115th Congress), California",7,6
