,B19013B_001E,B19013_001E,NAME,congressional district,state
0,26956.0,44824.0,"Congressional District 1 (115th Congress), Alabama",01,01
1,29348.0,43173.0,"Congressional District 2 (115th Congress), Alabama",02,01
2,30393.0,42953.0,"Congressional District 3 (115th Congress), Alabama",03,01
3,28789.0,40267.0,"Congressional District 4 (115th Congress), Alabama",04,01
4,35509.0,51830.0,"Congressional District 5 (115th Congress), Alabama",05,01
5,46713.0,60706.0,"Congressional District 6 (115th Congress), Alabama",06,01
6,27167.0,33366.0,"Congressional District 7 (115th Congress), Alabama",07,01
7,53800.0,74444.0,"Congressional District (at Large) (115th Congress), Alaska",00,02
8,50520.0,48583.0,"Congressional District 1 (115th Congress), Arizona",01,04
9,36736.0,48125.0,"Congressional District 2 (115th Congress), Arizona",02,04
10,44424.0,42173.0,"Congressional District 3 (115th Congress), Arizona",03,04
11,51497.0,45933.0,"Congressional District 4 (115th Congress), Arizona",04,04
12,60921.0,68292.0,"Congressional District 5 (115th Congress), Arizona",05,04
13,41136.0,64223.0,"Congressional District 6 (115th Congress), Arizona",06,04
14,29879.0,36097.0,"Congressional District 7 (115th Congress), Arizona",07,04
15,53239.0,60342.0,"Congressional District 8 (115th Congress), Arizona",08,04
16,34613.0,52245.0,"Congressional District 9 (115th Congress), Arizona",09,04
17,23858.0,38289.0,"Congressional District 1 (115th Congress), Arkansas",01,05
18,33192.0,48103.0,"Congressional District 2 (115th Congress), Arkansas",02,05
19,31311.0,46332.0,"Congressional District 3 (115th Congress), Arkansas",03,05
20,24815.0,37758.0,"Congressional District 4 (115th Congress), Arkansas",04,05
21,38370.0,46594.0,"Congressional District 1 (115th Congress), California",01,06
22,47315.0,65158.0,"Congressional District 2 (115th Congress), California",02,06
23,53797.0,57926.0,"Congressional District 3 (115th Congress), California",03,06
24,63086.0,69051.0,"Congressional District 4 (115th Congress), California",04,06
25,54059.0,67273.0,"Congressional District 5 (115th Congress), California",05,06
26,33804.0,49048.0,"Congressional District 6 (115th Congress), California",06,06
27,51375.0,66846.0,"Congressional District 7 (115th Congress), California",07,06
28,31772.0,47171.0,"Congressional District 8 (115th Congress), California",08,06
29,41047.0,57832.0,"Congressional District 9 (115th Congress), California",09,06
30,47407.0,56256.0,"Congressional District 10 (115th Congress), California",10,06
31,47190.0,78487.0,"Congressional District 11 (115th Congress), California",11,06
32,26423.0,88364.0,"Congressional District 12 (115th Congress), California",12,06
